Time \ Name,A,B
270,0.3332,3.8377
271,0.3267,4.2194
272,0.323,4.6395
273,0.322,5.1015
274,0.3242,5.6096
275,0.3299,6.1679
276,0.3396,6.7809
277,0.3541,7.4536
278,0.3745,8.1909
279,0.4022,8.998
280,0.4392,9.8799
281,0.4884,10.8413
282,0.5541,11.8862
283,0.6424,13.0171
284,0.7622,14.2339
285,0.9271,15.5318
286,1.1579,16.8991
287,1.4865,18.3117
288,1.9624,19.726
289,2.6626,21.0677
290,3.7036,22.2165
291,5.2525,22.988
292,7.522,23.1281
293,10.7144,22.3467
294,14.8736,20.4346
295,19.6784,17.456
296,24.3808,13.8594
297,28.1099,10.3071
298,30.3418,7.3184
299,31.0736,5.0785
300,30.6332,3.5166
