Time \ Name,A,B
270,8.4817,3.9341
271,8.2943,3.8337
272,8.0959,3.7468
273,7.8895,3.673
274,7.678,3.6119
275,7.464,3.5633
276,7.2498,3.5266
277,7.0373,3.5014
278,6.8285,3.4875
279,6.6247,3.4844
280,6.4272,3.4918
281,6.2373,3.5094
282,6.0556,3.5369
283,5.8831,3.5741
284,5.7203,3.6209
285,5.5677,3.6769
286,5.4257,3.742
287,5.2948,3.8161
288,5.1751,3.899
289,5.0669,3.9905
290,4.9706,4.0905
291,4.8862,4.1986
292,4.814,4.3146
293,4.7543,4.4383
294,4.7073,4.5691
295,4.6733,4.7067
296,4.6526,4.8504
297,4.6455,4.9995
298,4.6526,5.1532
299,4.6742,5.3105
300,4.7108,5.4702
